id,judul_kkn,waktu_pelaksanaan,url_pemberitaan,laporan_akhir_kkn,url_video_aktivitas_kkn,url_laporan_akhir,periodesem,nama_kelurahan_desa,desa_text,nama_kecamatan,nama_kota_kabupaten,nama_provinsi,latitude,longitude,lokasi
464,PENDAMPINGAN SINERGIS DAN BERKELANJUTAN TERHADAP PELAKU USAHA WARUNG MAKAN DI SURABAYA GUNA MENDUKUNG PROSES SERTIFIKASI HALAL,2022-05-23,https://www.beritabangsa.com/ekonomi-bisnis/tim-kkn-its-bantu-sertifikasi-halal-belasan-umkm/,7294f71a1453e46e7e992c0b6505370f,https://youtu.be/bhID2FBkG0s,https://data.its.ac.id/file_server_its/kkn_download.php?object_id=7294f71a1453e46e7e992c0b6505370f,20212,,,,KOTA SURABAYA,JAWA TIMUR,-7.3187579,112.6984342," , KECAMATAN , KOTA SURABAYA, PROVINSI JAWA TIMUR"
76,KKNT RECON KEMDIKBUD: PROGRAM EDUKASI MASYARAKAT TERKAIT PENTINGNYA IMPLEMENTASI  PROTOKOL KESEHATAN SEBAGAI PENCEGAHAN PENYEBARAN COVID-19  DI  ERA NEW NORMAL,2020-08-17,https://www.its.ac.id/news/2020/10/13/kknt-its-edukasi-masyarakat-secara-daring/,f203180d08f19b1c3e5b01f83c348c86,https://youtu.be/IKPjx00qitM,https://data.its.ac.id/file_server_its/kkn_download.php?object_id=f203180d08f19b1c3e5b01f83c348c86,20201,,CEPU,CEPU,KABUPATEN BLORA,JAWA TENGAH,-7.1671627,111.5344403,"CEPU , KECAMATAN CEPU, KABUPATEN BLORA, PROVINSI JAWA TENGAH"
289,SOSIALIASI HALAL DAN PENDAMPINGAN SERTIFIKASI HALAL UNTUK USAHA MIKRO PEMOTONGAN AYAM,2021-08-08,https://www.its.ac.id/news/2021/09/06/its-dampingi-umk-pemotongan-ayam-raih-sertifikasi-halal/,0d6574f93da2f3d1fa7b85311df57ba8,https://www.youtube.com/watch?v=5Hp0xkGKQNE,https://data.its.ac.id/file_server_its/kkn_download.php?object_id=0d6574f93da2f3d1fa7b85311df57ba8,20211,,JETAK,NOGOSARI,KABUPATEN BOYOLALI,JAWA TENGAH,-7.404200831407517,110.77224760654579,"JETAK , KECAMATAN NOGOSARI, KABUPATEN BOYOLALI, PROVINSI JAWA TENGAH"
340,PUPUK ORGANIK CAIR DARI LIMBAH AIR KELAPA TUA DAN INTEGRASINYA SECARA AQUAPONIK,2021-06-26,https://www.its.ac.id/news/2021/11/22/poc-its-green-solusi-limbah-air-kelapa-dari-its/,9100be328b250241e8f7e6976c0ac800,https://www.youtube.com/watch?v=SIyyumV3ZWQ,https://data.its.ac.id/file_server_its/kkn_download.php?object_id=9100be328b250241e8f7e6976c0ac800,20202,,MUNENG,BALONG,KABUPATEN PONOROGO,JAWA TIMUR,-7.912682639638297,111.4331970067462,"MUNENG , KECAMATAN BALONG, KABUPATEN PONOROGO, PROVINSI JAWA TIMUR"
262,"PEMBUATAN ALAT PEMBASMI HAMA SERANGGA BERBASIS ULTRASONIC WAVE DAN LIGHT TRAP DENGAN SUMBER ENERGI SOLAR PANEL SEBAGAI UPAYA MENINGKATKAN PEMBERDAYAAN PRODUKTIVITAS PETANI DI DESA PEPE, PURWOREJO",2021-06-11,https://www.its.ac.id/news/2021/09/24/tim-kkn-its-kembangkan-alat-pembasmi-hama/,ee0ae6cefe584a4b2c09d808a0f0ea82,https://www.youtube.com/watch?v=T25_UyMUKEU,https://data.its.ac.id/file_server_its/kkn_download.php?object_id=ee0ae6cefe584a4b2c09d808a0f0ea82,20202,,PEPE,PITURUH,KABUPATEN PURWOREJO,JAWA TENGAH,-7.700774192976898,109.84370981250463,"PEPE , KECAMATAN PITURUH, KABUPATEN PURWOREJO, PROVINSI JAWA TENGAH"
72,KKNT RECON KEMDIKBUD: KEGIATAN LITERASI DAN NUMERASI DENGAN PENDAMPINGAN BELAJAR SISWA  SEKOLAH DASAR DENGAN DIKEMAS SECARA MENYENANGKAN DENGAN METODE HOME VISIT,2020-08-17,https://www.its.ac.id/news/2020/10/14/kknt-22-its-bantu-pembelajaran-sd-di-ponorogo/,e6ba127edc7ab5249b624c696eb5556b,https://youtu.be/9nlLrzhI7sI,https://data.its.ac.id/file_server_its/kkn_download.php?object_id=e6ba127edc7ab5249b624c696eb5556b,20201,,NGEBEL,NGEBEL,KABUPATEN PONOROGO,JAWA TIMUR,-7.8022785,111.6000303,"NGEBEL , KECAMATAN NGEBEL, KABUPATEN PONOROGO, PROVINSI JAWA TIMUR"
152,"Kuliah Kerja Nyata Sosialisasi Berbagai Proses Pembuatan VCO, Cara Pengemasan dan Pemasarannya Melalui Media Sosial Pada Kelompok Tani Mekarsari",2020-08-07,https://lintasjatimnews.com/2020/09/20/kkn-its-2020-berdayakan-kelompok-tani-mekarsari/,1e42cac10caa0096a551553b3505448b,https://www.youtube.com/watch?v=EX_eaHZzItM&amp;feature=youtu.be,https://data.its.ac.id/file_server_its/kkn_download.php?object_id=1e42cac10caa0096a551553b3505448b,20201,,TUMPUK,TUGU,KABUPATEN TRENGGALEK,JAWA TIMUR,-8.05936,111.6349277,"TUMPUK , KECAMATAN TUGU, KABUPATEN TRENGGALEK, PROVINSI JAWA TIMUR"
176,KKN ABMAS INSTALASI PEMBANGKIT LISTRIK TENAGA MIKROHIDRO,2020-08-10,https://www.its.ac.id/news/2020/12/18/bantu-ekonomi-desa-its-kembangkan-pembangkit-listrik-tenaga-mikrohidro/,113755925015ba60a9d50ce3f5d24e4e,https: //youtu.be/SjxEn5UW4T4,https://data.its.ac.id/file_server_its/kkn_download.php?object_id=113755925015ba60a9d50ce3f5d24e4e,20201,,PUNCU,PUNCU,KABUPATEN KEDIRI,JAWA TIMUR,-7.8567567,112.1673302,"PUNCU , KECAMATAN PUNCU, KABUPATEN KEDIRI, PROVINSI JAWA TIMUR"
301,INSTALASI PEMBANGKIT LISTRIK TENAGA SURYA DESA PUNCU KECAMATAN PUNCU KABUPATEN KEDIRI,2021-09-11,https://www.its.ac.id/news/2021/12/13/its-kembangkan-plts-untuk-kecamatan-puncu/,8ea2e3e3bc9511aa6cade4fb6ea4da54,https://www.youtube.com/watch?v=hAXyPjw2bPs,https://data.its.ac.id/file_server_its/kkn_download.php?object_id=8ea2e3e3bc9511aa6cade4fb6ea4da54,20211,,PUNCU,PUNCU,KABUPATEN KEDIRI,JAWA TIMUR,-7.879203356579158,112.27911242196083,"PUNCU , KECAMATAN PUNCU, KABUPATEN KEDIRI, PROVINSI JAWA TIMUR"
26,"PEMBUATAN WEBSITE DESA SEBAGAI UPAYA PROMOSI POTENSI SUMBER DAYA ALAM DAN PARIWISATA DI DESA PUNCU, KECAMATAN PUNCU, KABUPATEN KEDIRI, JAWA TIMUR",2020-03-02,https://www.its.ac.id/news/2020/06/02/terus-berkarya-its-jalani-kkn-daring-di-tengah-wabah-covid-19/,28389d3e590ab2bbf338eff475f04e57,https://www.youtube.com/watch?v=Rwrl2S_AQAc,https://data.its.ac.id/file_server_its/kkn_download.php?object_id=28389d3e590ab2bbf338eff475f04e57,20192,,PUNCU,PUNCU,KABUPATEN KEDIRI,JAWA TIMUR,-7.8512265,112.1810807,"PUNCU , KECAMATAN PUNCU, KABUPATEN KEDIRI, PROVINSI JAWA TIMUR"
